gap_divisor_count,count,share,min_gap,max_gap,mean_gap
322,145,0.0017832984872709384,16,28,22.675862068965518
323,2,2.4597220514081907e-05,20,22,21
324,176,0.002164555405239208,8,30,21.90909090909091
325,2,2.4597220514081907e-05,18,22,20
326,173,0.002127659574468085,12,30,22.947976878612717
327,5,6.149305128520478e-05,18,26,22.8
328,145,0.0017832984872709384,4,30,22.44137931034483
329,6,7.379166154224573e-05,18,28,23.333333333333332
330,150,0.0018447915385561432,10,30,22.893333333333334
331,4,4.9194441028163815e-05,20,22,21
332,153,0.001881687369327266,12,30,22.73202614379085
333,4,4.9194441028163815e-05,24,28,26
334,147,0.0018078957077850204,12,30,23.591836734693878
335,4,4.9194441028163815e-05,18,28,23.5
336,169,0.0020784651334399213,8,30,22.76923076923077
337,2,2.4597220514081907e-05,22,24,23
338,128,0.001574222112901242,12,30,23.375
339,5,6.149305128520478e-05,14,30,22
340,156,0.0019185832000983888,10,30,23.397435897435898
341,5,6.149305128520478e-05,20,30,25.6
342,117,0.0014389374000737917,16,34,24.085470085470085
343,5,6.149305128520478e-05,20,28,23.6
344,159,0.001955479030869512,6,30,23.459119496855347
345,2,2.4597220514081907e-05,20,24,22
346,141,0.0017341040462427746,12,30,24.19858156028369
347,4,4.9194441028163815e-05,20,26,23.5
348,119,0.0014635346205878735,8,34,24.11764705882353
349,5,6.149305128520478e-05,22,30,25.6
350,138,0.0016972082154716518,10,32,24.44927536231884
351,2,2.4597220514081907e-05,18,34,26
352,128,0.001574222112901242,8,32,24.25
353,4,4.9194441028163815e-05,18,24,21
354,129,0.0015865207231582832,12,30,24.74418604651163
355,4,4.9194441028163815e-05,18,24,21
356,140,0.0017218054359857337,8,30,24.47142857142857
357,4,4.9194441028163815e-05,24,30,27.5
358,123,0.0015127290616160373,12,30,24.48780487804878
359,1,1.2298610257040954e-05,32,32,32
360,131,0.001611117943672365,6,32,25.053435114503817
361,6,7.379166154224573e-05,18,24,21.333333333333332
362,116,0.0014266387898167507,18,36,25.310344827586206
363,6,7.379166154224573e-05,20,26,23.333333333333332
364,120,0.0014758332308449145,8,34,25.4
365,3,3.6895830771122866e-05,18,24,22
366,127,0.0015619235026442012,10,34,25.73228346456693
367,2,2.4597220514081907e-05,20,24,22
368,129,0.0015865207231582832,6,36,24.976744186046513
369,2,2.4597220514081907e-05,24,24,24
370,111,0.001365145738531546,8,34,25.38738738738739
371,6,7.379166154224573e-05,24,28,25
372,126,0.0015496248923871604,10,30,25.444444444444443
373,1,1.2298610257040954e-05,18,18,18
374,107,0.001315951297503382,18,34,26.373831775700936
375,3,3.6895830771122866e-05,22,28,25.333333333333332
376,129,0.0015865207231582832,4,30,25.05426356589147
377,2,2.4597220514081907e-05,22,26,24
378,125,0.0015373262821301193,10,32,26.608
379,3,3.6895830771122866e-05,20,36,26.666666666666668
380,95,0.0011683679744188906,6,36,25.36842105263158
381,4,4.9194441028163815e-05,24,30,26.5
382,96,0.0011806665846759317,18,36,26.5625
384,94,0.0011560693641618498,2,34,26.19148936170213
385,6,7.379166154224573e-05,26,34,28.666666666666668
386,105,0.0012913540769893001,12,32,26.742857142857144
387,3,3.6895830771122866e-05,20,26,23.333333333333332
388,132,0.001623416553929406,10,36,26.87878787878788
389,4,4.9194441028163815e-05,24,28,25
390,99,0.0012175624154470545,16,32,26.848484848484848
391,1,1.2298610257040954e-05,30,30,30
392,88,0.001082277702619604,12,34,26.977272727272727
393,2,2.4597220514081907e-05,26,26,26
394,102,0.0012544582462181773,18,36,27.607843137254903
395,3,3.6895830771122866e-05,20,32,25.333333333333332
396,98,0.0012052638051900134,10,36,27.408163265306122
397,3,3.6895830771122866e-05,24,30,28
398,88,0.001082277702619604,20,36,28
400,102,0.0012544582462181773,10,36,27.80392156862745
401,3,3.6895830771122866e-05,22,28,25.333333333333332
402,77,0.0009469929897921535,20,36,28.285714285714285
403,3,3.6895830771122866e-05,26,30,28.666666666666668
404,81,0.0009961874308203173,12,34,27.703703703703702
406,87,0.0010699790923625631,20,34,28.04597701149425
407,4,4.9194441028163815e-05,24,30,27.5
408,93,0.0011437707539048087,8,36,27.376344086021504
409,2,2.4597220514081907e-05,28,30,29
410,91,0.0011191735333907268,16,36,28.417582417582416
411,1,1.2298610257040954e-05,24,24,24
412,93,0.0011437707539048087,8,36,27.741935483870968
413,2,2.4597220514081907e-05,30,30,30
414,91,0.0011191735333907268,16,36,28.9010989010989
416,75,0.0009223957692780716,12,40,28.186666666666667
417,1,1.2298610257040954e-05,26,26,26
418,70,0.0008609027179928669,18,36,28.942857142857143
419,5,6.149305128520478e-05,26,36,29.2
420,75,0.0009223957692780716,10,36,28.746666666666666
421,3,3.6895830771122866e-05,24,28,26.666666666666668
422,69,0.0008486041077358259,24,36,29.217391304347824
423,4,4.9194441028163815e-05,24,32,27
